"Mission", "Start Date [UTC]", "Start Time [UTC]", "Duration", "Astronauts", "Activity"
"Apollo 11", "1969-07-21", "02:39:33", "2h 32m", "Edwin Aldrin, Neil Armstrong", "Science Experiments"
"Apollo 11", "1969-07-21", "-", "0h 05m", "Edwin Aldrin, Neil Armstrong", "Equipment dump"
"Apollo 12", "1969-11-19", "11:32:35", "3h 56m", "Alan Bean, Charles Conrad", "Science Experiments"
"Apollo 12", "1969-11-20", "03:54:45", "3h 49m", "Alan Bean, Charles Conrad", "Science Experiments"
"Apollo 12", "1969-11-20", "-", "0h 05m", "Charles Conrad, Alan Bean", "Equipment dump"
"Apollo 14", "1971-02-05", "14:42:13", "4h 48m", "Edgar Mitchell, Alan Shepard", "Science Experiments"
"Apollo 14", "1971-02-06", "08:11:15", "4h 35m", "Edgar Mitchell, Alan Shepard", "Science Experiments"
"Apollo 15", "1971-07-31", "-", "0h 33m", "David Scott", "Panoramic photo"
"Apollo 15", "1971-07-31", "13:13:17", "6h 33m", "James Irwin, David Scott", "Science Experiments"
"Apollo 15", "1971-08-01", "11:48:48", "7h 12m", "James Irwin, David Scott", "Science Experiments"
"Apollo 15", "1971-08-02", "08:52:14", "4h 50m", "James Irwin, David Scott", "Science Experiments"
"Apollo 15", "1971-08-02", "-", "0h 12m", "James Irwin, David Scott", "Equipment dump"
"Apollo 16", "1972-04-21", "16:47:28", "7h 11m", "Charles Duke, John Young", "Science Experiments"
"Apollo 16", "1972-04-22", "16:33:35", "7h 23m", "Charles Duke, John Young", "Science Experiments"
"Apollo 16", "1972-04-23", "15:25:28", "5h 40m", "Charles Duke, John Young", "Science Experiments"
"Apollo 16", "1972-04-23", "-", "0h 04m", "Charles Duke, John Young", "Equipment dump"
"Apollo 17", "1972-12-11", "23:54:49", "7h 12m", "Eugene Cernan, Harrison Schmitt", "Science Experiments"
"Apollo 17", "1972-12-12", "23:28:06", "7h 37m", "Eugene Cernan, Harrison Schmitt", "Science Experiments"
"Apollo 17", "1972-12-13", "22:25:48", "7h 15m", "Eugene Cernan, Harrison Schmitt", "Science Experiments"
