"Selekcja", "Data selekcji", "Yuhangyuan"
"Group 0", "1996-10", "Q. Li"
"Group 0", "1996-10", "J. Wu"
"Group 1", "1998-01", "Q. Chen"
"Group 1", "1998-01", "Q. Deng"
"Group 1", "1998-01", "J. Fei"
"Group 1", "1998-01", "H. Jing"
"Group 1", "1998-01", "B. Liu"
"Group 1", "1998-01", "W. Liu"
"Group 1", "1998-01", "H. Nie"
"Group 1", "1998-01", "Z. Pan"
"Group 1", "1998-01", "L. Yang"
"Group 1", "1998-01", "Z. Zhai"
"Group 1", "1998-01", "X. Zhang"
"Group 1", "1998-01", "C. Zhao"
"Group 2", "2010-03", "X. Cai"
"Group 2", "2010-03", "D. Chen"
"Group 2", "2010-03", "Y. Liu"
"Group 2", "2010-03", "H. Tang"
"Group 2", "2010-03", "Y. Wang"
"Group 2", "2010-03", "G. Ye"
"Group 2", "2010-03", "L. Zhang"
