"Agencja", "Samolot", "Lata operacji", ""
"CSA", "T-33", "1988-1992", "Ottawa International Airport"
"CSA", "Falcon 20", "od 1993", "Ottawa International Airport"
"Ecuadorian Civilian Space Agency", "T-39 Sabreliner", "od 2008", "Mariscal Sucre International Airport"
"ESA", "Caravelle", "1984 - 2014", "Bordeaux Airport"
"Novespace", "Airbus A300", "1984 - 2014", "Bordeaux Airport"
"Novespace", "Airbus A310", "od 2014", "Bordeaux Airport"
"Roscosmos", "Il-76K/Il-76MDK/Il-76MDK-II", "od 1981", "Chkalovskiy airfield"
"Roscosmos", "MiG-15 UTI", "wczesne lata programu", "Chkalovskiy airfield"
"Roscosmos", "Tupolev TU-104A", "do 1981", "Chkalovskiy airfield"
"NASA", "C-131 Samaritan", "1959", "b/d"
"NASA", "KC-135 Stratotankers", "1973-1995", "b/d"
"NASA", "McDonnell Douglas C-9B Skytrain II", "1995-1997", "b/d"
"Zero-G", "Boeing 727-200", "od 2004", "Arlington, Virginia"
