"Data", "Kosmonauta", "Kosmonauta rezerwowy", "Kraj", "Misja", "Stacja orbitalna"
"2 marca 1978", "Vladimír Remek", "Oldřich Pelčák", "Czechosłowacja", "Sojuz 28", "Salut 6"
"27 czerwca 1978", "Mirosław Hermaszewski", "Zenon Jankowski", "Polska", "Sojuz 30", "Salut 6"
"26 sierpnia 1978", "Sigmund Jähn", "Eberhard Köllner", "NRD", "Sojuz 31", "Salut 6"
"10 kwietnia 1979", "Georgi Iwanow", "Aleksandyr Aleksandrow", "Bułgaria", "Sojuz 33", "Salut 6"
"26 maja 1980", "Bertalan Farkas", "Béla Magyari", "Węgry", "Sojuz 36", "Salut 6"
"23 lipca 1980", "Phạm Tuân", "Bùi Thanh Liêm", "Wietnam", "Sojuz 37", "Salut 6"
"18 września 1980", "Arnaldo Tamayo Méndez", "José Armando López Falcón", "Kuba", "Sojuz 38", "Salut 6"
"23 marca 1981", "Dżügderdemidijn Gürragczaa", "Majdarżawyn Ganzorig", "Mongolia", "Sojuz 39", "Salut 6"
"14 maja 1981", "Dumitru Prunariu", "Dumitru Dediu", "Rumunia", "Sojuz 40", "Salut 6"
"24 czerwca 1982", "Jean-Loup Chrétien", "Patrick Baudry", "Francja", "Sojuz T-6", "Salut 7"
"2 kwietnia 1984", "Rakesh Sharma", "Ravish Malhotra", "Indie", "Sojuz T-11", "Salut 7"
"22 lipca 1987", "Muhammed Ahmed Faris", "Munir Habib Habib", "Syria", "Sojuz TM-3", "Mir"
"6 lipca 1988", "Aleksandyr Aleksandrow", "Krasimir Stojanow", "Bułgaria", "Sojuz TM-5", "Mir"
"29 sierpnia 1988", "Abdul Ahad Mohmand", "Mohammed Dauran-Ghulam Masum", "Afganistan", "Sojuz TM-6", "Mir"
