"English", "Russian", "Abbreviation"
"Thermal Control System", "Sistema Obespecheniya Teplovogo Rezhima", "SOTR"
"Life Support System", "Kompleks Sredstv Obespecheniya Zhiznideyatelnosti", "KSOZh"
"Power Supply System", "Sistema Elektropitaniya", "SEP"
"Communication and Tracking Systems", "Rassvet radio communications system", "Rassvet"
"Communication and Tracking Systems", "Onboard Measurement System", "SBI"
"Communication and Tracking Systems", "Kvant-V spacecraft control", "Kvant"
"Communication and Tracking Systems", "Klyost-M television system", "Kloyst"
"Communication and Tracking Systems", "Orbit Radio Tracking", "RKO"
"Onboard Complex Control System", "Sistema Upravleniya Bortovym Kompleksom", "SUBK"
"Combined Propulsion System", "Kompleksnaya Dvigatelnaya Ustanovka", "KDU"
"Combined Propulsion System", "Chaika-3 Motion Control System", "SUD"
"Optical/Visual Devices (OVP)", "Vizir Spetsialniy Kosmicheskiy-4", "VSK-4"
"Optical/Visual Devices (OVP)", "Docking light", ""
"Pilot's Sight", "Vizir Pilota-1", "VP-1"
"Laser Range Finder", "Lazerniy Dalnomer-1", "LPR-1"
"Night Vision Device", "Visir Nochnogo Upravleniya po Kursu", "VNUK-K"
"Kurs rendezvous system", "Kurs", "Kurs"
"Docking System", "Sistema Stykovki i Vnutrennego Perekhoda", "SSVP"
"Teleoperator Control Mode", "Teleoperatorniy Rezhim Upravleniya", "TORU"
"Entry Actuators System", "Sistema Ispolnitelnikh Organov Spuska", "SIO-S"
"Landing Aids Kit", "Kompleks Sredstv Prizemleniya", "KSP"
"Portable Survival Kit", "Nosimiy Avariyniy Zapas", "NAZ"
"Portable Survival Kit", "containing a TP-82 or other pistol", ""
"Soyuz Launch Escape System", "Sistema Avariynogo Spaseniya", "SAS"
