"Nazwa", "Produkcja", "Lata użycia", "Program", "Uwagi"
"Berkut", "ZSSR", "1965", "Wostok", "Alexey Leovov - pierwszy EVA"
"Krechet-94", "ZSSR", "1965 - 1970", "N1/L3", "Księżycowy"
"Gemini G4C", "USA", "1965 - 1966", "Gemini", "użyty zarówno do IVA i EVA"
"Apollo Block 1 A1C", "USA", "1966 - 1967", "Apollo", "zaprzestano użycia po pożarze Apollo 1"
"MH-7", "USA", "n/d", "Manned Orbital Laboratory", "nigdy nie użyty"
"Shuguang", "Chiny", "1967", "Project 714", "nigdy nie użyty"
"Project 863", "Chiny", "n/d", "n/d", "nigdy nie użyty"
"Apollo / Skylab A7L", "USA", "1968 - 1975", "Apollo, Skylab", ""
"Yasterb", "ZSSR", "1969", "Soyuz 4 i 5", ""
"Orlan", "ZSSR", "1977 - obecnie", "Soyuz, Mir, ISS", ""
"Extravehicular Mobility Unit", "USA", "1982 - obecnie", "Space Shuttle, ISS", ""
"Haiying", "Chiny", "2008", "Shenzhou", "Orlan M - użyty podczas Shenzhou 7"
"Feitian", "Chiny", "2008 - obecnie", "Shenzhou", "używany od Shenzhou 7"
"MACES", "USA", "n/d", "Orion", "użyty zarówno do IVA i EVA"
