"Osoba", "Rola", "Pochodzenie", "Jednostka organizacyjna"
"Massironi Matteo", "Scientific Coordinator and Prime Instructor", "Italy", "Professor of Structural and Planetary Geology, Department of Geosciences, CISAS, University of Padova"
"Hiesinger Harald", "Instructor of Lunar Geology", "Germany", "Professor of Planetary Geology, Institute for Planetology, University of Münster"
"Mangold Nicolas", "Instructor of Mars Sedimentary Environments", "France", "Director of the Laboratory of planetology and geodynamics, Nantes"
"Sauro Francesco", "Course Designer and Coordinator, Instructor of Sedimentary Geology", "Italy", "Extraordinary Professor of Planetary Geology, BIGEA, University of Bologna"
"Pozzobon Riccardo", "Responsible for Course Training Material", "Italy", "PhD in Geology, Department of Geosciences, University of Padova"
"Cockell Charles", "Astrobiology and Geo-Microbiology Instructor", "United Kingdom", "Professor of Astrobiology, University of Edinburgh"
"Frías Jesús Martínez", "Instructor of Lanzarote Geology and Planetary Analogues", "Spain", "Professor of Planetary Geochemistry, Instituto de Geociencias IGEO (CSIC-UCM), Madrid"
"Samantha Cristoforetti", "PANGAEA Participant", "Italy", "ESA astronaut and test pilot"
"Hervé Stevenin", "PANGAEA Participant", "France", "ESA astronaut trainer"
"Matthias Maurer", "PANGAEA Participant", "Germany", "ESA astronaut and scientist"
"Pedro Duque", "PANGAEA Participant", "Spain", "ESA astronaut and engineer"
"William Carey", "PANGAEA Participant", "United Kingdom", "ESA robotics specialist"
"Shahrzad Hosseini", "PANGAEA Participant", "Germany", "ESA's human spaceflight and robotic exploration strategy"
