"Astronauta", "Narodowość", "Rok naboru", "Czas w kosmosie", "Misje"
"Jean-François Clervoy", "Francja", "1992", "28d 03h 05m", "STS-66, STS-84, STS-103"
"Samantha Cristoforetti", "Włochy", "2009", "199d 16h 43m", "Soyuz TMA-15M, Expedition 42, Expedition 43"
"Léopold Eyharts", "Francja", "1998", "68d 21h 31m", "Soyuz TM-27, Soyuz TM-26, STS-122, Expedition 16, STS-123"
"Christer Fuglesang", "Szwecja", "1992", "26d 17h 38m", "STS-116, STS-128"
"Alexander Gerst", "Niemcy", "2009", "165d 08h 01m", "Soyuz TMA-13M Expedition 40, Expedition 41"
"André Kuipers", "Holandia", "1998", "203d 15h 51m", "Soyuz TMA-4, Soyuz TMA-3, Soyuz TMA-03M, Expedition 30, Expedition 31"
"Andreas Mogensen", "Dania", "2009", "9d 20h 14m", "Soyuz TMA-18M/Soyuz TMA-16M"
"Paolo A. Nespoli", "Włochy", "1998", "174d 09h 40m", "STS-120, Soyuz TMA-20, Expedition 26"
"Luca Parmitano", "Włochy", "2009", "166d 6h 19m", "Soyuz TMA-09M, Expedition 36, Expedition 37"
"Timothy Peake", "Wielka Brytania", "2009", "186d", "Soyuz TMA-19M (Expedition 46/47)"
"Thomas Pesquet", "Francja", "2009", "164d", "Soyuz MS-03 (Expedition 50/51)"
"Hans Schlegel", "Niemcy", "1998", "22d 18h 02m", "STS-55, STS-122"
"Roberto Vittori", "Włochy", "1998", "35d 12h 26m", "Soyuz TM-34, Soyuz TM-33, Soyuz TMA-6, Soyuz TMA-5, STS-134"
